COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
BLR,,ALL,2003,1630
BLR,,ALL,2004,2180
BLR,,ALL,2005,2820
BLR,,ALL,2006,3510
BLR,,ALL,2007,4310
BLR,,ALL,2008,5470
BLR,,ALL,2009,5660
BLR,,ALL,2010,6210
BLR,,ALL,2011,6330
BLR,,ALL,2012,6670
BLR,,ALL,2013,7010
BLR,,ALL,2014,7600
BLR,,ALL,2015,6720
BLR,,ALL,2016,5620
BLR,,ALL,2017,5300
BLR,,ALL,2018,5670
,CARINFONET,ALL,1992,849.61
,CARINFONET,ALL,1993,833.66
,CARINFONET,ALL,1994,757.89
,CARINFONET,ALL,1995,739.56
,CARINFONET,ALL,1996,755.98
,CARINFONET,ALL,1997,765.06
,CARINFONET,ALL,1998,757.97
,CARINFONET,ALL,1999,739.48
,CARINFONET,ALL,2000,714.94
,CARINFONET,ALL,2001,707.96
,CARINFONET,ALL,2002,711.68
,CARINFONET,ALL,2003,798.86
,CARINFONET,ALL,2004,985.37
,CARINFONET,ALL,2005,1216.14
,CARINFONET,ALL,2006,1531.71
,CARINFONET,ALL,2007,1938.13
,CARINFONET,ALL,2008,2420.84
,CARINFONET,ALL,2009,2719
,CARINFONET,ALL,2010,3062.97
,CARINFONET,ALL,2011,3461.35
,CARINFONET,ALL,2012,4149.28
,CARINFONET,ALL,2013,4853.91
,CARINFONET,ALL,2014,5148.69
,CARINFONET,ALL,2015,4958.86
,CARINFONET,ALL,2016,4264.12
,CARINFONET,ALL,2017,3831.9
,CARINFONET,ALL,2018,3725.58
CHE,,ALL,1972,5370
CHE,,ALL,1973,7040
CHE,,ALL,1974,9040
CHE,,ALL,1975,10250
CHE,,ALL,1976,10910
CHE,,ALL,1977,12040
CHE,,ALL,1978,14010
CHE,,ALL,1979,17500
CHE,,ALL,1980,21720
CHE,,ALL,1981,21340
CHE,,ALL,1982,19120
CHE,,ALL,1983,17740
CHE,,ALL,1984,17980
CHE,,ALL,1985,18080
CHE,,ALL,1986,20360
CHE,,ALL,1987,25650
CHE,,ALL,1988,33650
CHE,,ALL,1989,35250
CHE,,ALL,1990,36930
CHE,,ALL,1991,37550
CHE,,ALL,1992,40920
CHE,,ALL,1993,40820
CHE,,ALL,1994,41900
CHE,,ALL,1995,45450
CHE,,ALL,1996,48360
CHE,,ALL,1997,48030
CHE,,ALL,1998,44940
CHE,,ALL,1999,43100
CHE,,ALL,2000,43520
CHE,,ALL,2001,40930
CHE,,ALL,2002,39700
CHE,,ALL,2003,45620
CHE,,ALL,2004,53800
CHE,,ALL,2005,61620
CHE,,ALL,2006,63990
CHE,,ALL,2007,62830
CHE,,ALL,2008,63190
CHE,,ALL,2009,70370
CHE,,ALL,2010,77570
CHE,,ALL,2011,79720
CHE,,ALL,2012,84880
CHE,,ALL,2013,88740
CHE,,ALL,2014,86560
CHE,,ALL,2015,85800
CHE,,ALL,2016,82110
CHE,,ALL,2017,81120
CHE,,ALL,2018,84410
,CIS,ALL,1992,2159.83
,CIS,ALL,1993,2023.59
,CIS,ALL,1994,1815.47
,CIS,ALL,1995,1785.95
,CIS,ALL,1996,1761.6
,CIS,ALL,1997,1801.17
,CIS,ALL,1998,1517.93
,CIS,ALL,1999,1291.44
,CIS,ALL,2000,1253.68
,CIS,ALL,2001,1291.38
,CIS,ALL,2002,1476.12
,CIS,ALL,2003,1801.11
,CIS,ALL,2004,2349.04
,CIS,ALL,2005,3024.39
,CIS,ALL,2006,3920.05
,CIS,ALL,2007,5076.06
,CIS,ALL,2008,6420.3
,CIS,ALL,2009,6264.17
,CIS,ALL,2010,6792.32
,CIS,ALL,2011,7462.21
,CIS,ALL,2012,8966.02
,CIS,ALL,2013,10094.58
,CIS,ALL,2014,9885.97
,CIS,ALL,2015,8130.12
,CIS,ALL,2016,6778.39
,CIS,ALL,2017,6382.49
,CIS,ALL,2018,6937.36
CYP,,ALL,1977,1530
CYP,,ALL,1978,1820
CYP,,ALL,1979,2410
CYP,,ALL,1980,3410
CYP,,ALL,1981,4070
CYP,,ALL,1982,4510
CYP,,ALL,1983,4220
CYP,,ALL,1984,4360
CYP,,ALL,1985,4480
CYP,,ALL,1986,5090
CYP,,ALL,1987,6450
CYP,,ALL,1988,8090
CYP,,ALL,1989,8770
CYP,,ALL,1990,9510
CYP,,ALL,1991,9670
CYP,,ALL,1992,11230
CYP,,ALL,1993,11190
CYP,,ALL,1994,11900
CYP,,ALL,1995,12820
CYP,,ALL,1996,13880
CYP,,ALL,1997,14280
CYP,,ALL,1998,15490
CYP,,ALL,1999,14340
CYP,,ALL,2000,14180
CYP,,ALL,2001,14170
CYP,,ALL,2002,14510
CYP,,ALL,2003,16710
CYP,,ALL,2004,20260
CYP,,ALL,2005,23990
CYP,,ALL,2006,25600
CYP,,ALL,2007,27340
CYP,,ALL,2008,31840
CYP,,ALL,2009,31260
CYP,,ALL,2010,31300
CYP,,ALL,2011,31480
CYP,,ALL,2012,28940
CYP,,ALL,2013,27220
CYP,,ALL,2014,26670
CYP,,ALL,2015,26380
CYP,,ALL,2016,24660
CYP,,ALL,2017,24140
CYP,,ALL,2018,26300
CZE,,ALL,1992,3340
CZE,,ALL,1993,3480
CZE,,ALL,1994,4140
CZE,,ALL,1995,5110
CZE,,ALL,1996,5950
CZE,,ALL,1997,6130
CZE,,ALL,1998,6080
CZE,,ALL,1999,6090
CZE,,ALL,2000,6330
CZE,,ALL,2001,6330
CZE,,ALL,2002,6630
CZE,,ALL,2003,8080
CZE,,ALL,2004,10230
CZE,,ALL,2005,12420
CZE,,ALL,2006,13950
CZE,,ALL,2007,15780
CZE,,ALL,2008,18340
CZE,,ALL,2009,18690
CZE,,ALL,2010,19280
CZE,,ALL,2011,19420
CZE,,ALL,2012,19350
CZE,,ALL,2013,19270
CZE,,ALL,2014,18800
CZE,,ALL,2015,18260
CZE,,ALL,2016,17590
CZE,,ALL,2017,17970
CZE,,ALL,2018,20240
DEU,,ALL,1972,3600
DEU,,ALL,1973,4670
DEU,,ALL,1974,5800
DEU,,ALL,1975,6720
DEU,,ALL,1976,7130
DEU,,ALL,1977,7670
DEU,,ALL,1978,8870
DEU,,ALL,1979,11050
DEU,,ALL,1980,13010
DEU,,ALL,1981,12540
DEU,,ALL,1982,11120
DEU,,ALL,1983,10020
DEU,,ALL,1984,9880
DEU,,ALL,1985,9840
DEU,,ALL,1986,11240
DEU,,ALL,1987,14240
DEU,,ALL,1988,18620
DEU,,ALL,1989,19760
DEU,,ALL,1990,21300
DEU,,ALL,1991,22890
DEU,,ALL,1992,25810
DEU,,ALL,1993,25990
DEU,,ALL,1994,27530
DEU,,ALL,1995,29520
DEU,,ALL,1996,30870
DEU,,ALL,1997,30140
DEU,,ALL,1998,27950
DEU,,ALL,1999,26840
DEU,,ALL,2000,26150
DEU,,ALL,2001,24740
DEU,,ALL,2002,23620
DEU,,ALL,2003,26070
DEU,,ALL,2004,31570
DEU,,ALL,2005,35710
DEU,,ALL,2006,38230
DEU,,ALL,2007,40440
DEU,,ALL,2008,43570
DEU,,ALL,2009,43520
DEU,,ALL,2010,44550
DEU,,ALL,2011,47220
DEU,,ALL,2012,46530
DEU,,ALL,2013,47190
DEU,,ALL,2014,47620
DEU,,ALL,2015,45850
DEU,,ALL,2016,44290
DEU,,ALL,2017,43640
DEU,,ALL,2018,47090
DNK,,ALL,1970,3310
DNK,,ALL,1971,3670
DNK,,ALL,1972,4310
DNK,,ALL,1973,5580
DNK,,ALL,1974,6800
DNK,,ALL,1975,8080
DNK,,ALL,1976,8960
DNK,,ALL,1977,9780
DNK,,ALL,1978,11170
DNK,,ALL,1979,13560
DNK,,ALL,1980,15090
DNK,,ALL,1981,14180
DNK,,ALL,1982,12860
DNK,,ALL,1983,11710
DNK,,ALL,1984,11520
DNK,,ALL,1985,11840
DNK,,ALL,1986,14070
DNK,,ALL,1987,17760
DNK,,ALL,1988,22130
DNK,,ALL,1989,23050
DNK,,ALL,1990,24370
DNK,,ALL,1991,25540
DNK,,ALL,1992,28700
DNK,,ALL,1993,28570
DNK,,ALL,1994,30360
DNK,,ALL,1995,32560
DNK,,ALL,1996,34770
DNK,,ALL,1997,35150
DNK,,ALL,1998,33460
DNK,,ALL,1999,33060
DNK,,ALL,2000,32580
DNK,,ALL,2001,31410
DNK,,ALL,2002,30850
DNK,,ALL,2003,34750
DNK,,ALL,2004,42640
DNK,,ALL,2005,49610
DNK,,ALL,2006,53540
DNK,,ALL,2007,55740
DNK,,ALL,2008,60390
DNK,,ALL,2009,60090
DNK,,ALL,2010,61220
DNK,,ALL,2011,61990
DNK,,ALL,2012,61650
DNK,,ALL,2013,63200
DNK,,ALL,2014,63670
DNK,,ALL,2015,60510
DNK,,ALL,2016,57880
DNK,,ALL,2017,56340
DNK,,ALL,2018,60140
ESP,,ALL,1970,1170
ESP,,ALL,1971,1310
ESP,,ALL,1972,1590
ESP,,ALL,1973,2090
ESP,,ALL,1974,2730
ESP,,ALL,1975,3240
ESP,,ALL,1976,3430
ESP,,ALL,1977,3640
ESP,,ALL,1978,4040
ESP,,ALL,1979,5010
ESP,,ALL,1980,6210
ESP,,ALL,1981,6310
ESP,,ALL,1982,5680
ESP,,ALL,1983,4860
ESP,,ALL,1984,4580
ESP,,ALL,1985,4550
ESP,,ALL,1986,5400
ESP,,ALL,1987,7110
ESP,,ALL,1988,9410
ESP,,ALL,1989,10700
ESP,,ALL,1990,12210
ESP,,ALL,1991,13700
ESP,,ALL,1992,15610
ESP,,ALL,1993,15010
ESP,,ALL,1994,14470
ESP,,ALL,1995,14830
ESP,,ALL,1996,15560
ESP,,ALL,1997,15820
ESP,,ALL,1998,15440
ESP,,ALL,1999,15480
ESP,,ALL,2000,15770
ESP,,ALL,2001,15520
ESP,,ALL,2002,15590
ESP,,ALL,2003,18030
ESP,,ALL,2004,22070
ESP,,ALL,2005,25870
ESP,,ALL,2006,27820
ESP,,ALL,2007,29740
ESP,,ALL,2008,32190
ESP,,ALL,2009,32460
ESP,,ALL,2010,31880
ESP,,ALL,2011,30950
ESP,,ALL,2012,29520
ESP,,ALL,2013,29210
ESP,,ALL,2014,29130
ESP,,ALL,2015,28430
ESP,,ALL,2016,27530
ESP,,ALL,2017,27040
ESP,,ALL,2018,29340
EST,,ALL,2000,4160
EST,,ALL,2001,4310
EST,,ALL,2002,4620
EST,,ALL,2003,5730
EST,,ALL,2004,7500
EST,,ALL,2005,9730
EST,,ALL,2006,11500
EST,,ALL,2007,13420
EST,,ALL,2008,15080
EST,,ALL,2009,14560
EST,,ALL,2010,14560
EST,,ALL,2011,15850
EST,,ALL,2012,16800
EST,,ALL,2013,18170
EST,,ALL,2014,18880
EST,,ALL,2015,18560
EST,,ALL,2016,18260
EST,,ALL,2017,18690
EST,,ALL,2018,21140
,EU_AFTER_MAY2004,ALL,1993,2739.92
,EU_AFTER_MAY2004,ALL,1994,2967.89
,EU_AFTER_MAY2004,ALL,1995,3305.75
,EU_AFTER_MAY2004,ALL,1996,3703.67
,EU_AFTER_MAY2004,ALL,1997,3900.61
,EU_AFTER_MAY2004,ALL,1998,3952.4
,EU_AFTER_MAY2004,ALL,1999,3999.5
,EU_AFTER_MAY2004,ALL,2000,4169.19
,EU_AFTER_MAY2004,ALL,2001,4249.08
,EU_AFTER_MAY2004,ALL,2002,4510.9
,EU_AFTER_MAY2004,ALL,2003,5278.36
,EU_AFTER_MAY2004,ALL,2004,6489.64
,EU_AFTER_MAY2004,ALL,2005,7857.59
,EU_AFTER_MAY2004,ALL,2006,8990.65
,EU_AFTER_MAY2004,ALL,2007,10449.95
,EU_AFTER_MAY2004,ALL,2008,12521.51
,EU_AFTER_MAY2004,ALL,2009,12868.18
,EU_AFTER_MAY2004,ALL,2010,12887.26
,EU_AFTER_MAY2004,ALL,2011,13038.08
,EU_AFTER_MAY2004,ALL,2012,13177.43
,EU_AFTER_MAY2004,ALL,2013,13471.59
,EU_AFTER_MAY2004,ALL,2014,13719.6
,EU_AFTER_MAY2004,ALL,2015,13380.84
,EU_AFTER_MAY2004,ALL,2016,12986.78
,EU_AFTER_MAY2004,ALL,2017,13084.89
,EU_AFTER_MAY2004,ALL,2018,14622
,EU_BEFORE_MAY2004,ALL,1970,2632.32
,EU_BEFORE_MAY2004,ALL,1971,2810.92
,EU_BEFORE_MAY2004,ALL,1972,3123.58
,EU_BEFORE_MAY2004,ALL,1973,3970.48
,EU_BEFORE_MAY2004,ALL,1974,4840.04
,EU_BEFORE_MAY2004,ALL,1975,5564.71
,EU_BEFORE_MAY2004,ALL,1976,5881.87
,EU_BEFORE_MAY2004,ALL,1977,6291.64
,EU_BEFORE_MAY2004,ALL,1978,7141.79
,EU_BEFORE_MAY2004,ALL,1979,8870.98
,EU_BEFORE_MAY2004,ALL,1980,10688.64
,EU_BEFORE_MAY2004,ALL,1981,10773.13
,EU_BEFORE_MAY2004,ALL,1982,9919.03
,EU_BEFORE_MAY2004,ALL,1983,8892.98
,EU_BEFORE_MAY2004,ALL,1984,8595.11
,EU_BEFORE_MAY2004,ALL,1985,8591.34
,EU_BEFORE_MAY2004,ALL,1986,9878.57
,EU_BEFORE_MAY2004,ALL,1987,12551.28
,EU_BEFORE_MAY2004,ALL,1988,16225.13
,EU_BEFORE_MAY2004,ALL,1989,17405.67
,EU_BEFORE_MAY2004,ALL,1990,18723.96
,EU_BEFORE_MAY2004,ALL,1991,19950.16
,EU_BEFORE_MAY2004,ALL,1992,22309.75
,EU_BEFORE_MAY2004,ALL,1993,21938.81
,EU_BEFORE_MAY2004,ALL,1994,22486.09
,EU_BEFORE_MAY2004,ALL,1995,23370.99
,EU_BEFORE_MAY2004,ALL,1996,24766.02
,EU_BEFORE_MAY2004,ALL,1997,25139.92
,EU_BEFORE_MAY2004,ALL,1998,24471.47
,EU_BEFORE_MAY2004,ALL,1999,24313.35
,EU_BEFORE_MAY2004,ALL,2000,24279.01
,EU_BEFORE_MAY2004,ALL,2001,23400.81
,EU_BEFORE_MAY2004,ALL,2002,22950.22
,EU_BEFORE_MAY2004,ALL,2003,25723.76
,EU_BEFORE_MAY2004,ALL,2004,31011.28
,EU_BEFORE_MAY2004,ALL,2005,35430.21
,EU_BEFORE_MAY2004,ALL,2006,37681.54
,EU_BEFORE_MAY2004,ALL,2007,39906.16
,EU_BEFORE_MAY2004,ALL,2008,42481.45
,EU_BEFORE_MAY2004,ALL,2009,41808.06
,EU_BEFORE_MAY2004,ALL,2010,41580.67
,EU_BEFORE_MAY2004,ALL,2011,42017.23
,EU_BEFORE_MAY2004,ALL,2012,41283.04
,EU_BEFORE_MAY2004,ALL,2013,41650.78
,EU_BEFORE_MAY2004,ALL,2014,41826.67
,EU_BEFORE_MAY2004,ALL,2015,40325.05
,EU_BEFORE_MAY2004,ALL,2016,38835.62
,EU_BEFORE_MAY2004,ALL,2017,38103
,EU_BEFORE_MAY2004,ALL,2018,40654.04
,EU_MEMBERS,ALL,1972,3013.82
,EU_MEMBERS,ALL,1973,3666.62
,EU_MEMBERS,ALL,1974,4335.46
,EU_MEMBERS,ALL,1975,4892.4
,EU_MEMBERS,ALL,1976,5135.6
,EU_MEMBERS,ALL,1977,5447.96
,EU_MEMBERS,ALL,1978,6099.36
,EU_MEMBERS,ALL,1979,7424.06
,EU_MEMBERS,ALL,1980,8823.01
,EU_MEMBERS,ALL,1981,8884.69
,EU_MEMBERS,ALL,1982,8222.77
,EU_MEMBERS,ALL,1983,7425.83
,EU_MEMBERS,ALL,1984,7192.33
,EU_MEMBERS,ALL,1985,7185.19
,EU_MEMBERS,ALL,1986,8172.54
,EU_MEMBERS,ALL,1987,10225.03
,EU_MEMBERS,ALL,1988,13041.49
,EU_MEMBERS,ALL,1989,13943.14
,EU_MEMBERS,ALL,1990,14954.5
,EU_MEMBERS,ALL,1991,15890.93
,EU_MEMBERS,ALL,1992,17733.09
,EU_MEMBERS,ALL,1993,17493.95
,EU_MEMBERS,ALL,1994,17979.01
,EU_MEMBERS,ALL,1995,18751.53
,EU_MEMBERS,ALL,1996,19942.03
,EU_MEMBERS,ALL,1997,20287.59
,EU_MEMBERS,ALL,1998,19798.92
,EU_MEMBERS,ALL,1999,19697.74
,EU_MEMBERS,ALL,2000,19745.4
,EU_MEMBERS,ALL,2001,19107.97
,EU_MEMBERS,ALL,2002,18857.65
,EU_MEMBERS,ALL,2003,21214.61
,EU_MEMBERS,ALL,2004,25636.59
,EU_MEMBERS,ALL,2005,29413.38
,EU_MEMBERS,ALL,2006,31464.07
,EU_MEMBERS,ALL,2007,33556.79
,EU_MEMBERS,ALL,2008,36051.86
,EU_MEMBERS,ALL,2009,35618.45
,EU_MEMBERS,ALL,2010,35473.53
,EU_MEMBERS,ALL,2011,35870.03
,EU_MEMBERS,ALL,2012,35362.93
,EU_MEMBERS,ALL,2013,35677.57
,EU_MEMBERS,ALL,2014,35967.31
,EU_MEMBERS,ALL,2015,34749.1
,EU_MEMBERS,ALL,2016,33508.7
,EU_MEMBERS,ALL,2017,32852.62
,EU_MEMBERS,ALL,2018,35199.29
FIN,,ALL,1970,2470
FIN,,ALL,1971,2690
FIN,,ALL,1972,3170
FIN,,ALL,1973,4030
FIN,,ALL,1974,5130
FIN,,ALL,1975,6320
FIN,,ALL,1976,6840
FIN,,ALL,1977,7190
FIN,,ALL,1978,7910
FIN,,ALL,1979,9540
FIN,,ALL,1980,11450
FIN,,ALL,1981,11980
FIN,,ALL,1982,11690
FIN,,ALL,1983,10830
FIN,,ALL,1984,10790
FIN,,ALL,1985,11130
FIN,,ALL,1986,13010
FIN,,ALL,1987,16470
FIN,,ALL,1988,21530
FIN,,ALL,1989,24100
FIN,,ALL,1990,26000
FIN,,ALL,1991,25090
FIN,,ALL,1992,24170
FIN,,ALL,1993,20680
FIN,,ALL,1994,20170
FIN,,ALL,1995,22030
FIN,,ALL,1996,24970
FIN,,ALL,1997,26680
FIN,,ALL,1998,25820
FIN,,ALL,1999,26040
FIN,,ALL,2000,26450
FIN,,ALL,2001,25810
FIN,,ALL,2002,25550
FIN,,ALL,2003,28720
FIN,,ALL,2004,35270
FIN,,ALL,2005,40170
FIN,,ALL,2006,42800
FIN,,ALL,2007,46160
FIN,,ALL,2008,50070
FIN,,ALL,2009,48800
FIN,,ALL,2010,49600
FIN,,ALL,2011,50150
FIN,,ALL,2012,48940
FIN,,ALL,2013,49480
FIN,,ALL,2014,49390
FIN,,ALL,2015,47160
FIN,,ALL,2016,45480
FIN,,ALL,2017,44680
FIN,,ALL,2018,48280
FRA,,ALL,1970,3020
FRA,,ALL,1971,3250
FRA,,ALL,1972,3670
FRA,,ALL,1973,4690
FRA,,ALL,1974,5790
FRA,,ALL,1975,6720
FRA,,ALL,1976,7140
FRA,,ALL,1977,7810
FRA,,ALL,1978,8830
FRA,,ALL,1979,10820
FRA,,ALL,1980,13080
FRA,,ALL,1981,13190
FRA,,ALL,1982,12040
FRA,,ALL,1983,10450
FRA,,ALL,1984,9820
FRA,,ALL,1985,9770
FRA,,ALL,1986,11330
FRA,,ALL,1987,14460
FRA,,ALL,1988,18520
FRA,,ALL,1989,19490
FRA,,ALL,1990,20640
FRA,,ALL,1991,21420
FRA,,ALL,1992,23840
FRA,,ALL,1993,23580
FRA,,ALL,1994,24380
FRA,,ALL,1995,25740
FRA,,ALL,1996,27110
FRA,,ALL,1997,26930
FRA,,ALL,1998,25830
FRA,,ALL,1999,25420
FRA,,ALL,2000,24970
FRA,,ALL,2001,23840
FRA,,ALL,2002,23090
FRA,,ALL,2003,25930
FRA,,ALL,2004,31360
FRA,,ALL,2005,35870
FRA,,ALL,2006,37850
FRA,,ALL,2007,40130
FRA,,ALL,2008,43460
FRA,,ALL,2009,43930
FRA,,ALL,2010,43850
FRA,,ALL,2011,44350
FRA,,ALL,2012,43380
FRA,,ALL,2013,43780
FRA,,ALL,2014,43320
FRA,,ALL,2015,41080
FRA,,ALL,2016,38990
FRA,,ALL,2017,38330
FRA,,ALL,2018,41080
GBR,,ALL,1970,2470
GBR,,ALL,1971,2760
GBR,,ALL,1972,3200
GBR,,ALL,1973,3900
GBR,,ALL,1974,4360
GBR,,ALL,1975,4870
GBR,,ALL,1976,5010
GBR,,ALL,1977,5220
